(0, 69, 33)
(1, 74, 36)
(3, 78, 38)
(4, 81, 40)
(6, 79, 39)
(7, 78, 38)
(8, 79, 39)
(9, 76, 37)
(10, 74, 36)
(15, 73, 35)
(16, 74, 36)
(21, 73, 35)
(22, 74, 36)
(24, 64, 30)
(25, 69, 33)
(27, 73, 35)
(28, 76, 37)
(30, 74, 36)
(31, 73, 35)
(32, 74, 36)
(33, 71, 34)
(34, 69, 33)
(39, 68, 32)
(40, 69, 33)
(45, 68, 32)
(46, 69, 33)
(48, 57, 26)
(49, 61, 28)
(51, 64, 30)
(52, 64, 30)
(54, 62, 29)
(55, 61, 28)
(56, 64, 30)
(57, 67, 32)
(58, 67, 32)
(60, 66, 31)
(61, 64, 30)
(62, 67, 32)
(63, 71, 34)
(64, 71, 34)
(66, 69, 33)
(67, 68, 32)
(68, 69, 33)
(69, 67, 32)
(70, 66, 31)
(72, 62, 29)
(73, 66, 31)
(75, 69, 33)
(76, 73, 35)
(78, 69, 33)
(79, 66, 31)
(80, 68, 32)
(81, 69, 33)
(82, 73, 35)
(84, 69, 33)
(85, 66, 31)
(86, 68, 32)
(87, 69, 33)
(88, 74, 36)
(90, 73, 35)
(91, 73, 35)
(91, 71, 34)
(92, 69, 33)
(93, 68, 32)
(94, 73, 35)
(96, 69, 33)
(97, 66, 31)
(98, 68, 32)
(99, 69, 33)
(100, 74, 36)
(102, 73, 35)
(103, 73, 35)
(103, 71, 34)
(104, 69, 33)
(105, 68, 32)
(106, 68, 32)
(109, 67, 32)
(114, 69, 33)
(115, 74, 36)
(117, 78, 38)
(118, 81, 40)
(120, 79, 39)
(121, 78, 38)
(122, 79, 39)
(123, 76, 37)
(124, 74, 36)
(127, 74, 36)
(129, 73, 35)
(130, 74, 36)
(135, 73, 35)
(136, 74, 36)
(137, 76, 37)
(138, 74, 36)
(139, 73, 35)
(140, 74, 36)
(141, 71, 34)
(142, 69, 33)
(144, 67, 32)
(145, 66, 31)
(146, 67, 32)
(147, 64, 30)
(148, 69, 33)
(149, 76, 37)
(150, 74, 36)
(151, 73, 35)
(152, 74, 36)
(153, 71, 34)
(154, 69, 33)
(155, 71, 34)
(156, 67, 32)
(157, 66, 31)
(158, 67, 32)
(159, 64, 30)
(160, 62, 29)
(168, 74, 36)
(169, 78, 38)
(171, 81, 40)
(172, 86, 43)
(176, 85, 42)
(177, 83, 41)
(178, 81, 40)
(179, 80, 39)
(180, 79, 39)
(181, 78, 38)
(182, 76, 37)
(183, 78, 38)
(184, 76, 37)
(187, 74, 36)
(190, 74, 36)
(383/2, 73, 35)
(192, 74, 36)
(385/2, 76, 37)
(193, 78, 38)
(387/2, 74, 36)
(194, 71, 34)
(389/2, 74, 36)
(195, 73, 35)
(391/2, 70, 33)
(196, 71, 34)
(393/2, 66, 31)
(197, 71, 34)
(395/2, 74, 36)
(198, 73, 35)
(397/2, 70, 33)
(199, 71, 34)
(399/2, 74, 36)
(200, 73, 35)
(401/2, 70, 33)
(201, 71, 34)
(403/2, 73, 35)
(202, 74, 36)
(405/2, 76, 37)
(203, 78, 38)
(407/2, 80, 39)
(204, 81, 40)
(409/2, 83, 41)
(205, 85, 42)
(411/2, 81, 40)
(206, 78, 38)
(413/2, 81, 40)
(207, 80, 39)
(415/2, 77, 37)
(208, 78, 38)
(417/2, 73, 35)
(209, 78, 38)
(419/2, 81, 40)
(210, 80, 39)
(421/2, 77, 37)
(211, 78, 38)
(423/2, 81, 40)
(212, 80, 39)
(425/2, 77, 37)
(213, 78, 38)
(427/2, 80, 39)
(214, 81, 40)
(429/2, 83, 41)
(215, 85, 42)
(431/2, 87, 43)
(216, 88, 44)
(433/2, 90, 45)
(217, 92, 46)
(435/2, 88, 44)
(218, 85, 42)
(437/2, 88, 44)
(219, 87, 43)
(439/2, 84, 41)
(220, 85, 42)
(441/2, 80, 39)
(221, 85, 42)
(443/2, 88, 44)
(222, 87, 43)
(445/2, 84, 41)
(223, 85, 42)
(447/2, 87, 43)
(224, 88, 44)
(449/2, 87, 43)
(225, 85, 42)
(451/2, 81, 40)
(226, 80, 39)
(453/2, 84, 41)
(227, 85, 42)
(455/2, 81, 40)
(228, 80, 39)
(457/2, 78, 38)
(229, 76, 37)
(459/2, 78, 38)
(230, 80, 39)
(461/2, 78, 38)
(231, 76, 37)
(463/2, 75, 36)
(232, 73, 35)
(465/2, 74, 36)
(233, 76, 37)
(467/2, 74, 36)
(234, 73, 35)
(469/2, 71, 34)
(235, 71, 34)
(238, 70, 33)
(479/2, 73, 35)
(240, 74, 36)
(481/2, 76, 37)
(241, 70, 33)
(244, 71, 34)
(248, 71, 34)
(249, 76, 37)
(250, 75, 36)
(252, 76, 37)
(505/2, 78, 38)
(253, 76, 37)
(255, 74, 36)
(256, 73, 35)
(257, 73, 35)
(258, 73, 35)
(259, 76, 37)
(260, 74, 36)
(262, 74, 36)
(263, 74, 36)
(264, 74, 36)
(265, 77, 37)
(533/2, 80, 39)
(267, 81, 40)
(535/2, 83, 41)
(268, 85, 42)
(537/2, 81, 40)
(269, 78, 38)
(539/2, 81, 40)
(270, 80, 39)
(541/2, 77, 37)
(271, 78, 38)
(545/2, 80, 39)
(273, 81, 40)
(547/2, 83, 41)
(274, 85, 42)
(549/2, 81, 40)
(275, 78, 38)
(551/2, 81, 40)
(276, 80, 39)
(553/2, 77, 37)
(277, 78, 38)
(557/2, 80, 39)
(279, 81, 40)
(559/2, 83, 41)
(280, 85, 42)
(561/2, 81, 40)
(281, 80, 39)
(563/2, 78, 38)
(282, 81, 40)
(565/2, 78, 38)
(283, 76, 37)
(567/2, 75, 36)
(284, 78, 38)
(569/2, 75, 36)
(285, 73, 35)
(571/2, 72, 34)
(286, 73, 35)
(573/2, 78, 38)
(287, 81, 40)
(575/2, 80, 39)
(288, 78, 38)
(577/2, 77, 37)
(289, 78, 38)
(290, 78, 38)
(291, 78, 38)
(292, 78, 38)
(591/2, 77, 37)
(296, 78, 38)
(593/2, 78, 38)
(297, 78, 38)
(595/2, 78, 38)
(298, 78, 38)
(603/2, 77, 37)
(302, 78, 38)
(605/2, 78, 38)
(303, 78, 38)
(607/2, 78, 38)
(304, 78, 38)
(615/2, 77, 37)
(308, 78, 38)
(617/2, 77, 37)
(309, 78, 38)
(619/2, 77, 37)
(310, 78, 38)
(621/2, 77, 37)
(311, 78, 38)
(623/2, 77, 37)
(312, 78, 38)
(625/2, 77, 37)
(313, 78, 38)
(627/2, 79, 39)
(314, 78, 38)
(629/2, 79, 39)
(315, 78, 38)
(631/2, 79, 39)
(316, 78, 38)
(633/2, 75, 36)
(317, 76, 37)
(635/2, 75, 36)
(318, 76, 37)
(637/2, 75, 36)
(319, 76, 37)
(639/2, 74, 36)
(320, 73, 35)
(641/2, 74, 36)
(321, 73, 35)
(643/2, 74, 36)
(322, 73, 35)
(645/2, 71, 34)
(323, 70, 33)
(647/2, 71, 34)
(324, 70, 33)
(649/2, 71, 34)
(325, 70, 33)
(651/2, 67, 32)
(326, 66, 31)
(653/2, 67, 32)
(327, 66, 31)
(655/2, 67, 32)
(328, 66, 31)
(683/2, 73, 35)
(342, 74, 36)
(685/2, 76, 37)
(343, 78, 38)
(687/2, 74, 36)
(344, 71, 34)
(689/2, 74, 36)
(345, 73, 35)
(691/2, 70, 33)
(346, 71, 34)
(693/2, 66, 31)
(347, 71, 34)
(695/2, 74, 36)
(348, 73, 35)
(697/2, 70, 33)
(349, 71, 34)
(699/2, 74, 36)
(350, 73, 35)
(701/2, 70, 33)
(351, 71, 34)
(703/2, 73, 35)
(352, 74, 36)
(705/2, 75, 36)
(353, 76, 37)
(707/2, 78, 38)
(354, 79, 39)
(709/2, 81, 40)
(355, 83, 41)
(711/2, 79, 39)
(356, 76, 37)
(713/2, 79, 39)
(357, 78, 38)
(715/2, 75, 36)
(358, 76, 37)
(717/2, 71, 34)
(359, 76, 37)
(719/2, 79, 39)
(360, 78, 38)
(721/2, 75, 36)
(361, 76, 37)
(723/2, 79, 39)
(362, 78, 38)
(725/2, 75, 36)
(363, 76, 37)
(727/2, 78, 38)
(364, 79, 39)
(729/2, 81, 40)
(365, 83, 41)
(731/2, 87, 43)
(366, 88, 44)
(733/2, 90, 45)
(367, 91, 46)
(735/2, 88, 44)
(368, 84, 42)
(737/2, 88, 44)
(369, 86, 43)
(739/2, 83, 41)
(370, 84, 42)
(741/2, 79, 39)
(371, 84, 42)
(743/2, 88, 44)
(372, 86, 43)
(745/2, 84, 42)
(373, 83, 41)
(747/2, 84, 42)
(374, 83, 41)
(749/2, 81, 40)
(375, 79, 39)
(751/2, 78, 38)
(376, 81, 40)
(753/2, 79, 39)
(377, 77, 38)
(755/2, 76, 37)
(378, 74, 36)
(757/2, 72, 35)
(379, 71, 34)
(759/2, 78, 38)
(380, 76, 37)
(761/2, 74, 36)
(381, 73, 35)
(763/2, 71, 34)
(382, 70, 33)
(765/2, 79, 39)
(383, 78, 38)
(767/2, 76, 37)
(384, 74, 36)
(769/2, 73, 35)
(385, 71, 34)
(386, 71, 34)
(387, 71, 34)
(388, 71, 34)
(783/2, 70, 33)
(392, 71, 34)
(785/2, 71, 34)
(393, 71, 34)
(787/2, 71, 34)
(394, 71, 34)
(795/2, 70, 33)
(398, 71, 34)
(797/2, 70, 33)
(399, 71, 34)
(799/2, 70, 33)
(400, 71, 34)
(801/2, 70, 33)
(401, 71, 34)
(803/2, 70, 33)
(402, 71, 34)
(805/2, 70, 33)
(403, 71, 34)
(809/2, 79, 39)
(405, 78, 38)
(811/2, 76, 37)
(406, 78, 38)
(813/2, 74, 36)
(407, 71, 34)
(815/2, 79, 39)
(408, 78, 38)
(817/2, 76, 37)
(409, 83, 41)
(429, 69, 33)
(430, 74, 36)
(432, 78, 38)
(433, 81, 40)
(435, 79, 39)
(436, 78, 38)
(437, 79, 39)
(438, 76, 37)
(439, 74, 36)
(444, 73, 35)
(445, 74, 36)
(450, 73, 35)
(451, 74, 36)
(453, 64, 30)
(454, 69, 33)
(456, 73, 35)
(457, 76, 37)
(459, 74, 36)
(460, 73, 35)
(461, 74, 36)
(462, 71, 34)
