(0, 83, 41)
(1/4, 83, 41)
(1/2, 83, 41)
(3/4, 83, 41)
(1, 83, 41)
(3/2, 81, 40)
(2, 80, 39)
(5/2, 78, 38)
(3, 78, 38)
(3, 76, 37)
(7/2, 75, 36)
(4, 76, 37)
(9/2, 73, 35)
(5, 71, 34)
(11/2, 69, 33)
(6, 68, 32)
(13/2, 66, 31)
(7, 64, 30)
(15/2, 63, 29)
(8, 64, 30)
(17/2, 66, 31)
(9, 64, 30)
(10, 63, 29)
(21/2, 61, 28)
(11, 59, 27)
(23/2, 61, 28)
(12, 64, 30)
(13, 63, 29)
(27/2, 61, 28)
(14, 59, 27)
(29/2, 61, 28)
(15, 64, 30)
(16, 63, 29)
(33/2, 58, 26)
(17, 59, 27)
(35/2, 61, 28)
(18, 63, 29)
(37/2, 64, 30)
(19, 66, 31)
(39/2, 68, 32)
(20, 69, 33)
(41/2, 70, 33)
(21, 71, 34)
(43/2, 73, 35)
(22, 75, 36)
(45/2, 76, 37)
(23, 78, 38)
(47/2, 71, 34)
(24, 83, 41)
(97/4, 83, 41)
(99/4, 81, 40)
(101/4, 80, 39)
(103/4, 78, 38)
(27, 78, 38)
(27, 76, 37)
(55/2, 75, 36)
(28, 76, 37)
(57/2, 73, 35)
(29, 71, 34)
(59/2, 69, 33)
(30, 68, 32)
(61/2, 66, 31)
(31, 66, 31)
(31, 64, 30)
(63/2, 63, 29)
(32, 64, 30)
(65/2, 66, 31)
(33, 64, 30)
(34, 63, 29)
(69/2, 61, 28)
(35, 59, 27)
(71/2, 61, 28)
(36, 64, 30)
(37, 63, 29)
(75/2, 61, 28)
(38, 59, 27)
(77/2, 61, 28)
(39, 64, 30)
(40, 63, 29)
(81/2, 61, 28)
(41, 59, 27)
(83/2, 61, 28)
(42, 63, 29)
(85/2, 64, 30)
(43, 66, 31)
(87/2, 73, 35)
(44, 71, 34)
(89/2, 69, 33)
(45, 68, 32)
(93/2, 76, 37)
(47, 75, 36)
(95/2, 73, 35)
(48, 73, 35)
(48, 72, 34)
(97/2, 70, 33)
(49, 72, 34)
(99/2, 68, 32)
(50, 73, 35)
(101/2, 76, 37)
(51, 80, 39)
(105/2, 78, 38)
(53, 76, 37)
(107/2, 73, 35)
(54, 73, 35)
(54, 72, 34)
(109/2, 70, 33)
(55, 72, 34)
(111/2, 68, 32)
(56, 73, 35)
(113/2, 76, 37)
(57, 80, 39)
(117/2, 78, 38)
(59, 76, 37)
(119/2, 73, 35)
(60, 80, 39)
(123/2, 75, 36)
(62, 76, 37)
(125/2, 73, 35)
(63, 78, 38)
(129/2, 73, 35)
(65, 75, 36)
(131/2, 71, 34)
(66, 76, 37)
(133/2, 71, 34)
(67, 73, 35)
(135/2, 70, 33)
(68, 75, 36)
(137/2, 70, 33)
(69, 71, 34)
(139/2, 68, 32)
(70, 73, 35)
(141/2, 68, 32)
(71, 70, 33)
(143/2, 66, 31)
(72, 66, 31)
(147/2, 66, 31)
(74, 66, 31)
(149/2, 66, 31)
(75, 66, 31)
(153/2, 66, 31)
(77, 66, 31)
(155/2, 66, 31)
(78, 66, 31)
(159/2, 66, 31)
(80, 66, 31)
(161/2, 66, 31)
(81, 68, 32)
(81, 66, 31)
(163/2, 65, 30)
(82, 66, 31)
(165/2, 68, 32)
(83, 65, 30)
(167/2, 71, 34)
(84, 71, 34)
(85, 70, 33)
(171/2, 68, 32)
(86, 66, 31)
(173/2, 68, 32)
(87, 71, 34)
(88, 70, 33)
(177/2, 68, 32)
(89, 66, 31)
(179/2, 68, 32)
(90, 71, 34)
(91, 70, 33)
(183/2, 68, 32)
(92, 66, 31)
(185/2, 68, 32)
(93, 70, 33)
(187/2, 71, 34)
(94, 73, 35)
(189/2, 75, 36)
(95, 76, 37)
(191/2, 66, 31)
(96, 78, 38)
(195/2, 78, 38)
(98, 78, 38)
(197/2, 78, 38)
(99, 78, 38)
(201/2, 78, 38)
(101, 78, 38)
(203/2, 78, 38)
(102, 78, 38)
(207/2, 78, 38)
(104, 78, 38)
(209/2, 78, 38)
(105, 78, 38)
(211/2, 77, 37)
(106, 78, 38)
(213/2, 80, 39)
(107, 77, 37)
(215/2, 83, 41)
(108, 81, 40)
(217/2, 80, 39)
(109, 78, 38)
(221/2, 83, 41)
(111, 82, 40)
(223/2, 80, 39)
(112, 78, 38)
(227/2, 83, 41)
(114, 82, 40)
(229/2, 80, 39)
(115, 78, 38)
(231/2, 83, 41)
(116, 82, 40)
(233/2, 80, 39)
(117, 78, 38)
(235/2, 83, 41)
(118, 82, 40)
(237/2, 80, 39)
(119, 78, 38)
(239/2, 76, 37)
(120, 75, 36)
(241/2, 76, 37)
(121, 78, 38)
(122, 77, 37)
(123, 73, 35)
(247/2, 75, 36)
(124, 76, 37)
(125, 75, 36)
(126, 71, 34)
(253/2, 73, 35)
(127, 74, 36)
(128, 73, 35)
(129, 70, 33)
(259/2, 71, 34)
(130, 73, 35)
(261/2, 75, 36)
(131, 76, 37)
(263/2, 73, 35)
(132, 78, 38)
(265/2, 76, 37)
(133, 75, 36)
(267/2, 78, 38)
(134, 83, 41)
(269/2, 71, 34)
(135, 76, 37)
(271/2, 75, 36)
(136, 73, 35)
(273/2, 76, 37)
(137, 83, 41)
(275/2, 71, 34)
(138, 74, 36)
(277/2, 73, 35)
(139, 71, 34)
(279/2, 74, 36)
(140, 83, 41)
(281/2, 71, 34)
(141, 76, 37)
(283/2, 75, 36)
(142, 73, 35)
(285/2, 71, 34)
(143, 70, 33)
(287/2, 73, 35)
(144, 71, 34)
(289/2, 72, 34)
(145, 73, 35)
(291/2, 75, 36)
(146, 76, 37)
(293/2, 73, 35)
(147, 78, 38)
(295/2, 75, 36)
(148, 73, 35)
(297/2, 71, 34)
(149, 70, 33)
(299/2, 73, 35)
(150, 71, 34)
(156, 73, 35)
(156, 75, 36)
(156, 83, 41)
(157, 83, 41)
(315/2, 81, 40)
(158, 80, 39)
(317/2, 78, 38)
(159, 76, 37)
(319/2, 75, 36)
(160, 76, 37)
(321/2, 73, 35)
(161, 71, 34)
(323/2, 69, 33)
(162, 68, 32)
(325/2, 66, 31)
(163, 66, 31)
(163, 64, 30)
(327/2, 63, 29)
(164, 64, 30)
(329/2, 66, 31)
(165, 64, 30)
(166, 63, 29)
(333/2, 61, 28)
(167, 59, 27)
(335/2, 61, 28)
(168, 64, 30)
(169, 63, 29)
(339/2, 61, 28)
(170, 59, 27)
(341/2, 61, 28)
(171, 64, 30)
(172, 63, 29)
(345/2, 58, 26)
(173, 59, 27)
(347/2, 61, 28)
(174, 63, 29)
(349/2, 64, 30)
(175, 66, 31)
(351/2, 68, 32)
(176, 69, 33)
(353/2, 70, 33)
(177, 71, 34)
(355/2, 73, 35)
(178, 75, 36)
(357/2, 76, 37)
(179, 78, 38)
(359/2, 71, 34)
(180, 83, 41)
(1441/8, 83, 41)
(1445/8, 81, 40)
(1449/8, 80, 39)
(1453/8, 78, 38)
(183, 80, 39)
(367/2, 78, 38)
(184, 77, 37)
(369/2, 74, 36)
(185, 73, 35)
(371/2, 71, 34)
(186, 69, 33)
(373/2, 68, 32)
(187, 68, 32)
(187, 66, 31)
(375/2, 65, 30)
(188, 66, 31)
(377/2, 68, 32)
(189, 64, 30)
(379/2, 68, 32)
(190, 73, 35)
(192, 64, 30)
(387/2, 64, 30)
(194, 63, 29)
(389/2, 63, 29)
(195, 61, 28)
(391/2, 62, 29)
(196, 61, 28)
(393/2, 61, 28)
(197, 59, 27)
(395/2, 62, 29)
(198, 64, 30)
(399/2, 64, 30)
(200, 62, 29)
(401/2, 62, 29)
(201, 61, 28)
(403/2, 62, 29)
(202, 59, 27)
(405/2, 59, 27)
(203, 59, 27)
(407/2, 59, 27)
(204, 59, 27)
(207, 73, 35)
(829/4, 73, 35)
(831/4, 73, 35)
(833/4, 73, 35)
(835/4, 73, 35)
(210, 73, 35)
(213, 73, 35)
(853/4, 73, 35)
(855/4, 73, 35)
(857/4, 73, 35)
(859/4, 73, 35)
(216, 75, 36)
(865/4, 75, 36)
(867/4, 75, 36)
(869/4, 75, 36)
(871/4, 75, 36)
(219, 64, 30)
(219, 75, 36)
(220, 75, 36)
(441/2, 75, 36)
(221, 75, 36)
(443/2, 75, 36)
(222, 66, 31)
(222, 75, 36)
(223, 75, 36)
(447/2, 75, 36)
(224, 75, 36)
(449/2, 75, 36)
(225, 75, 36)
(226, 76, 37)
(453/2, 77, 37)
(227, 78, 38)
(455/2, 78, 38)
(228, 73, 35)
(228, 80, 39)
(229, 80, 39)
(459/2, 78, 38)
(230, 76, 37)
(461/2, 75, 36)
(231, 76, 37)
(463/2, 75, 36)
(232, 73, 35)
(465/2, 69, 33)
(233, 66, 31)
(467/2, 68, 32)
(234, 64, 30)
(469/2, 64, 30)
(235, 66, 31)
(471/2, 68, 32)
(236, 69, 33)
(237, 68, 32)
(238, 69, 33)
(1192/5, 71, 34)
(1194/5, 73, 35)
(1196/5, 75, 36)
(1198/5, 77, 37)
(240, 78, 38)
(241, 73, 35)
(483/2, 83, 41)
(243, 83, 41)
(244, 81, 40)
(491/2, 80, 39)
(246, 80, 39)
(247, 78, 38)
(497/2, 76, 37)
(249, 74, 36)
(250, 86, 43)
(255, 73, 35)
(255, 88, 44)
(511/2, 88, 44)
(256, 86, 43)
(513/2, 85, 42)
(257, 83, 41)
(258, 85, 42)
(517/2, 83, 41)
(259, 81, 40)
(519/2, 80, 39)
(260, 78, 38)
(521/2, 76, 37)
(261, 73, 35)
(261, 75, 36)
(261, 76, 37)
(523/2, 76, 37)
(262, 78, 38)
(263, 71, 34)
(264, 87, 43)
(529/2, 85, 42)
(265, 83, 41)
(531/2, 81, 40)
(266, 80, 39)
(533/2, 78, 38)
(267, 77, 37)
(535/2, 78, 38)
(268, 80, 39)
(269, 73, 35)
(270, 85, 42)
(541/2, 83, 41)
(271, 81, 40)
(543/2, 83, 41)
(272, 81, 40)
(545/2, 80, 39)
(273, 81, 40)
(547/2, 80, 39)
(274, 78, 38)
(549/2, 76, 37)
(275, 75, 36)
(551/2, 73, 35)
(276, 64, 30)
(276, 72, 34)
(555/2, 72, 34)
(278, 73, 35)
(557/2, 75, 36)
(1115/4, 76, 37)
(279, 78, 38)
(559/2, 80, 39)
(280, 78, 38)
(561/2, 76, 37)
(281, 75, 36)
(563/2, 73, 35)
(282, 72, 34)
(1129/4, 72, 34)
(1131/4, 73, 35)
(1133/4, 75, 36)
(1135/4, 76, 37)
(285, 78, 38)
(571/2, 76, 37)
(286, 75, 36)
(573/2, 78, 38)
(287, 84, 41)
(575/2, 80, 39)
(288, 85, 42)
(291, 83, 41)
(293, 86, 43)
(294, 85, 42)
(297, 83, 41)
(299, 86, 43)
(300, 85, 42)
(301, 80, 39)
(302, 81, 40)
(304, 82, 40)
(305, 83, 41)
(307, 84, 41)
(308, 85, 42)
(310, 85, 42)
(311, 87, 43)
(312, 92, 46)
(1249/4, 92, 46)
(1251/4, 90, 45)
(1253/4, 88, 44)
(1255/4, 87, 43)
(315, 88, 44)
(631/2, 84, 41)
(316, 85, 42)
(633/2, 81, 40)
(317, 80, 39)
(635/2, 78, 38)
(318, 69, 33)
(318, 80, 39)
(637/2, 80, 39)
(319, 78, 38)
(639/2, 76, 37)
(320, 75, 36)
(321, 76, 37)
(643/2, 72, 34)
(322, 73, 35)
(645/2, 69, 33)
(323, 68, 32)
(647/2, 66, 31)
(324, 68, 32)
(651/2, 66, 31)
(326, 68, 32)
(653/2, 69, 33)
(327, 68, 32)
(657/2, 73, 35)
(657/2, 76, 37)
(329, 73, 35)
(329, 76, 37)
(659/2, 73, 35)
(659/2, 76, 37)
(330, 73, 35)
(330, 76, 37)
(336, 73, 35)
(336, 76, 37)
(342, 73, 36)
(342, 76, 37)
(348, 73, 35)
(348, 76, 37)
(351, 73, 35)
(351, 76, 37)
(354, 73, 35)
(354, 76, 37)
(357, 64, 30)
(361, 61, 28)
(361, 64, 30)
(370, 60, 27)
(370, 63, 29)
(373, 61, 28)
(380, 71, 34)
(381, 69, 33)
(382, 68, 32)
(383, 66, 31)
(384, 65, 30)
(385, 66, 31)
(773/2, 61, 28)
(387, 57, 26)
(775/2, 61, 28)
(388, 66, 31)
(779/2, 61, 28)
(390, 57, 26)
(781/2, 61, 28)
(391, 66, 31)
(392, 69, 33)
(393, 68, 32)
(394, 69, 33)
(395, 68, 32)
(396, 66, 31)
(397, 64, 30)
(797/2, 63, 29)
(399, 61, 28)
(799/2, 63, 29)
(400, 64, 30)
(803/2, 63, 29)
(402, 61, 28)
(805/2, 63, 29)
(403, 64, 30)
(406, 62, 29)
(407, 61, 28)
(408, 61, 28)
(409, 73, 35)
(413, 66, 31)
(414, 68, 32)
(415, 69, 33)
(417, 68, 32)
(418, 66, 31)
(419, 64, 30)
(420, 63, 29)
(421, 61, 28)
(423, 64, 30)
(424, 66, 31)
(427, 64, 30)
(430, 66, 31)
(432, 63, 29)
(433, 64, 30)
(436, 66, 31)
(439, 64, 30)
(442, 66, 31)
(444, 63, 29)
(445, 64, 30)
(452, 83, 41)
(1809/4, 83, 41)
(905/2, 83, 41)
(1811/4, 83, 41)
(453, 83, 41)
(907/2, 81, 40)
(454, 80, 39)
(909/2, 78, 38)
(455, 76, 37)
(911/2, 75, 36)
(456, 76, 37)
(913/2, 73, 35)
(457, 71, 34)
(915/2, 69, 33)
(458, 68, 32)
(917/2, 66, 31)
(459, 64, 30)
(919/2, 63, 29)
(460, 64, 30)
(921/2, 66, 31)
(461, 64, 30)
(462, 63, 29)
(925/2, 61, 28)
(463, 59, 27)
(927/2, 61, 28)
(464, 64, 30)
(465, 63, 29)
(931/2, 61, 28)
(466, 59, 27)
(933/2, 61, 28)
(467, 64, 30)
(468, 63, 29)
(937/2, 58, 26)
(469, 59, 27)
(939/2, 61, 28)
(470, 63, 29)
(941/2, 64, 30)
(471, 66, 31)
(943/2, 68, 32)
(472, 69, 33)
(945/2, 70, 33)
(473, 71, 34)
(947/2, 73, 35)
(474, 75, 36)
(949/2, 76, 37)
(475, 78, 38)
(951/2, 71, 34)
(476, 83, 41)
(1905/4, 83, 41)
(1907/4, 81, 40)
(1909/4, 80, 39)
(1911/4, 78, 38)
(479, 78, 38)
(479, 76, 37)
(959/2, 75, 36)
(480, 76, 37)
(961/2, 73, 35)
(481, 71, 34)
(963/2, 69, 33)
(482, 68, 32)
(965/2, 66, 31)
(483, 66, 31)
(483, 64, 30)
(967/2, 73, 35)
(484, 71, 34)
(969/2, 69, 33)
(485, 69, 33)
(486, 68, 32)
(973/2, 66, 31)
(487, 64, 30)
(975/2, 66, 31)
(488, 69, 33)
(489, 68, 32)
(979/2, 66, 31)
(490, 64, 30)
(981/2, 66, 31)
(491, 69, 33)
(492, 68, 32)
(985/2, 63, 29)
(493, 64, 30)
(987/2, 66, 31)
(494, 68, 32)
(989/2, 69, 33)
(495, 71, 34)
(991/2, 78, 38)
(496, 76, 37)
(993/2, 74, 36)
(497, 73, 35)
(997/2, 81, 40)
(499, 80, 39)
(999/2, 78, 38)
(500, 78, 38)
(500, 77, 37)
(1001/2, 75, 36)
(501, 77, 37)
(1003/2, 73, 35)
(502, 78, 38)
(1005/2, 81, 40)
(503, 85, 42)
(504, 83, 41)
(1009/2, 81, 40)
(505, 78, 38)
(506, 77, 37)
(1013/2, 75, 36)
(507, 77, 37)
(1015/2, 73, 35)
(508, 78, 38)
(1017/2, 81, 40)
(509, 85, 42)
(1021/2, 83, 41)
(511, 81, 40)
(1023/2, 78, 38)
(512, 85, 42)
(1027/2, 83, 41)
(514, 81, 40)
(1029/2, 78, 38)
(515, 83, 41)
(1033/2, 81, 40)
(517, 80, 39)
(1035/2, 76, 37)
(518, 81, 40)
(1037/2, 76, 37)
(519, 78, 38)
(1039/2, 75, 36)
(520, 80, 39)
(1041/2, 75, 36)
(521, 76, 37)
(1043/2, 73, 35)
(522, 78, 38)
(1045/2, 73, 35)
(523, 75, 36)
(1047/2, 71, 34)
(524, 71, 34)
(2099/4, 71, 34)
(2101/4, 71, 34)
(2103/4, 71, 34)
(527, 71, 34)
(1057/2, 71, 34)
(529, 71, 34)
(1059/2, 71, 34)
(530, 71, 34)
(1063/2, 71, 34)
(532, 71, 34)
(1065/2, 71, 34)
(533, 73, 35)
(533, 71, 34)
(1067/2, 70, 33)
(534, 71, 34)
(1069/2, 73, 35)
(535, 70, 33)
(1071/2, 76, 37)
(536, 76, 37)
(537, 75, 36)
(1075/2, 73, 35)
(538, 71, 34)
(1077/2, 73, 35)
(539, 76, 37)
(540, 75, 36)
(1081/2, 73, 35)
(541, 71, 34)
(1083/2, 73, 35)
(542, 76, 37)
(543, 75, 36)
(1087/2, 70, 33)
(544, 71, 34)
(1089/2, 73, 35)
(545, 75, 36)
(1091/2, 76, 37)
(546, 78, 38)
(1093/2, 80, 39)
(547, 81, 40)
(1095/2, 71, 34)
(548, 83, 41)
(1099/2, 83, 41)
(550, 83, 41)
(1101/2, 83, 41)
(551, 83, 41)
(1105/2, 83, 41)
(553, 83, 41)
(1107/2, 83, 41)
(554, 83, 41)
(1109/2, 83, 41)
(555, 83, 41)
(1111/2, 83, 41)
(556, 83, 41)
(1113/2, 83, 41)
(557, 83, 41)
(1115/2, 83, 41)
(558, 83, 41)
(1117/2, 85, 42)
(559, 82, 40)
(1119/2, 88, 44)
(560, 87, 43)
(1121/2, 85, 42)
(561, 83, 41)
(1125/2, 88, 44)
(563, 87, 43)
(1127/2, 85, 42)
(564, 83, 41)
(1131/2, 88, 44)
(566, 87, 43)
(1133/2, 85, 42)
(567, 83, 41)
(1135/2, 88, 44)
(568, 87, 43)
(1137/2, 85, 42)
(569, 83, 41)
(1139/2, 88, 44)
(570, 87, 43)
(1141/2, 85, 42)
(571, 83, 41)
(1143/2, 81, 40)
(572, 80, 39)
(1145/2, 81, 40)
(573, 83, 41)
(574, 82, 40)
(575, 78, 38)
(1151/2, 80, 39)
(576, 81, 40)
(577, 80, 39)
(578, 76, 37)
(1157/2, 78, 38)
(579, 79, 39)
(580, 78, 38)
(581, 75, 36)
(1163/2, 76, 37)
(582, 78, 38)
(1165/2, 80, 39)
(583, 81, 40)
(1167/2, 78, 38)
(584, 83, 41)
(1169/2, 81, 40)
(585, 80, 39)
(1171/2, 83, 41)
(586, 88, 44)
(1173/2, 76, 37)
(587, 81, 40)
(1175/2, 80, 39)
(588, 78, 38)
(1177/2, 81, 40)
(589, 88, 44)
(1179/2, 76, 37)
(590, 79, 39)
(1181/2, 78, 38)
(591, 76, 37)
(1183/2, 79, 39)
(592, 88, 44)
(1185/2, 76, 37)
(593, 81, 40)
(1187/2, 80, 39)
(594, 78, 38)
(1189/2, 76, 37)
(595, 75, 36)
(1191/2, 78, 38)
(596, 76, 37)
(1193/2, 77, 37)
(597, 78, 38)
(1195/2, 80, 39)
(598, 81, 40)
(1197/2, 78, 38)
(599, 80, 39)
(2997/5, 78, 38)
(2999/5, 76, 37)
(3001/5, 75, 36)
(3003/5, 78, 38)
(602, 76, 37)
(608, 83, 41)
(1217/2, 81, 40)
(609, 80, 39)
(1219/2, 78, 38)
(610, 77, 37)
(1221/2, 74, 36)
(611, 73, 35)
(1223/2, 71, 34)
(612, 68, 32)
(1225/2, 65, 30)
(613, 61, 28)
(1227/2, 59, 27)
(614, 58, 26)
(620, 59, 27)
(1241/2, 61, 28)
(621, 63, 29)
(1243/2, 64, 30)
(622, 66, 31)
(1245/2, 69, 33)
(623, 75, 36)
(1247/2, 76, 37)
(624, 78, 38)
(1249/2, 80, 39)
(625, 81, 40)
(1251/2, 78, 38)
(626, 83, 41)
(2505/4, 83, 41)
(2507/4, 81, 40)
(2509/4, 80, 39)
(2511/4, 78, 38)
(629, 76, 37)
(632, 71, 34)
(2529/4, 71, 34)
(2531/4, 73, 35)
(2533/4, 75, 36)
(2535/4, 76, 37)
(635, 78, 38)
(1271/2, 80, 39)
(636, 81, 40)
(637, 71, 34)
(638, 83, 41)
(2553/4, 83, 41)
(2555/4, 81, 40)
(2557/4, 80, 39)
(2559/4, 78, 38)
(641, 76, 37)
(644, 59, 27)
(1289/2, 59, 27)
(647, 57, 26)
(650, 56, 25)
(653, 57, 26)
(659, 57, 26)
(660, 59, 27)
(661, 63, 29)
(662, 64, 30)
(663, 68, 32)
(665, 69, 33)
(668, 68, 32)
(671, 66, 31)
(671, 69, 33)
(673, 63, 29)
(674, 64, 30)
(677, 66, 31)
(680, 64, 30)
(683, 66, 31)
(686, 64, 30)
(692, 75, 36)
(692, 83, 41)
(693, 83, 41)
(1387/2, 81, 40)
(694, 80, 39)
(1389/2, 78, 38)
(695, 78, 38)
(695, 76, 37)
(1391/2, 75, 36)
(1391/2, 78, 38)
(696, 76, 37)
(1393/2, 73, 35)
(697, 71, 34)
(1395/2, 69, 33)
(698, 68, 32)
(1397/2, 66, 31)
(699, 64, 30)
(1399/2, 66, 31)
(700, 63, 29)
(1401/2, 59, 27)
(701, 64, 30)
(704, 64, 30)
(704, 75, 36)
(705, 64, 30)
(1411/2, 59, 27)
(706, 56, 25)
(1413/2, 59, 27)
(707, 64, 30)
(710, 64, 30)
(1421/2, 64, 30)
(711, 59, 27)
(1423/2, 56, 25)
(712, 59, 27)
(713, 56, 25)
(713, 69, 33)
(1429/2, 59, 27)
(1431/2, 64, 30)
(716, 68, 32)
(717, 71, 34)
(2869/4, 76, 37)
(719, 73, 35)
(719, 80, 39)
(720, 68, 32)
(721, 71, 34)
(722, 76, 37)
(1445/2, 80, 39)
(2891/4, 83, 41)
(725, 88, 44)
(728, 63, 29)
(731, 64, 30)
(10000, 75, 36)
(40001/4, 76, 37)
(20001/2, 76, 37)
(40003/4, 76, 37)
(10001, 76, 37)
(40005/4, 76, 37)
(40007/4, 76, 37)
(40009/4, 76, 37)
(10003, 71, 34)
(20007/2, 69, 33)
(10004, 71, 34)
(20009/2, 69, 33)
(10005, 68, 32)
(20011/2, 64, 30)
(10006, 64, 30)
(20013/2, 63, 29)
(10007, 59, 27)
(20015/2, 59, 27)
(10008, 59, 27)
(20017/2, 61, 28)
(10009, 57, 26)
(20021/2, 57, 26)
(10011, 57, 26)
(20023/2, 57, 26)
(10012, 57, 26)
(20027/2, 57, 26)
(10014, 57, 26)
(20029/2, 57, 26)
(10015, 57, 26)
(20043/2, 70, 33)
(10022, 71, 34)
(20045/2, 73, 35)
(10023, 75, 36)
(20047/2, 71, 34)
(10024, 76, 37)
(40097/4, 76, 37)
(40099/4, 76, 37)
(40101/4, 76, 37)
(40103/4, 75, 36)
(10027, 71, 34)
(20055/2, 69, 33)
(10028, 71, 34)
(20057/2, 69, 33)
(10029, 68, 32)
(20059/2, 64, 30)
(10030, 64, 30)
(20061/2, 63, 29)
(10031, 59, 27)
(20063/2, 59, 27)
(10032, 59, 27)
(20065/2, 61, 28)
(10033, 57, 26)
(20067/2, 57, 26)
(10034, 57, 26)
(20069/2, 57, 26)
(10035, 57, 26)
(10036, 57, 26)
(20073/2, 57, 26)
(10037, 57, 26)
(20075/2, 57, 26)
(10038, 57, 26)
(10039, 57, 26)
(20079/2, 57, 26)
(10040, 58, 26)
(20081/2, 59, 27)
(20087/2, 64, 30)
(10044, 63, 29)
(20089/2, 66, 31)
(10045, 56, 25)
(10045, 68, 32)
(10045, 78, 38)
(10046, 56, 25)
(10046, 68, 32)
(20093/2, 56, 25)
(20093/2, 68, 32)
(10047, 56, 25)
(10047, 68, 32)
(20095/2, 56, 25)
(20095/2, 68, 32)
(10048, 56, 25)
(10048, 68, 32)
(10051, 56, 25)
(10051, 68, 32)
(10051, 75, 36)
(20103/2, 56, 25)
(20103/2, 68, 32)
(10052, 56, 25)
(10052, 68, 32)
(20105/2, 56, 25)
(20105/2, 68, 32)
(10053, 56, 25)
(10053, 68, 32)
(10054, 56, 25)
(10054, 68, 32)
(10057, 56, 25)
(10057, 68, 32)
(10060, 56, 25)
(10060, 68, 32)
(20121/2, 56, 25)
(20121/2, 68, 32)
(10063, 66, 31)
(10063, 73, 35)
(10063, 76, 37)
(10064, 66, 31)
(10066, 64, 30)
(20133/2, 64, 30)
(10067, 64, 30)
(20135/2, 64, 30)
(10068, 63, 29)
(20137/2, 63, 29)
(10069, 63, 29)
(20139/2, 63, 29)
(10070, 61, 28)
(20141/2, 61, 28)
(10071, 61, 28)
(20143/2, 61, 28)
(10072, 63, 29)
(20147/2, 61, 28)
(10074, 59, 27)
(20149/2, 61, 28)
(10075, 63, 29)
(20153/2, 61, 28)
(10077, 59, 27)
(20155/2, 61, 28)
(10078, 63, 29)
(20159/2, 61, 28)
(10080, 59, 27)
(20161/2, 61, 28)
(10081, 63, 29)
(20163/2, 62, 28)
(10082, 63, 29)
(20165/2, 59, 27)
(10083, 63, 29)
(10083, 64, 30)
(20167/2, 61, 28)
(10084, 61, 28)
(10084, 64, 30)
(20171/2, 61, 28)
