(0, 67, 32)
(1/2, 67, 32)
(3, 67, 32)
(7/2, 67, 32)
(6, 67, 32)
(13/2, 67, 32)
(7, 65, 31)
(15/2, 63, 30)
(8, 65, 31)
(17/2, 67, 32)
(9, 68, 33)
(19/2, 67, 32)
(12, 62, 29)
(25/2, 63, 30)
(13, 62, 29)
(27/2, 63, 30)
(14, 65, 31)
(29/2, 63, 30)
(15, 65, 31)
(31/2, 67, 32)
(16, 65, 31)
(33/2, 67, 32)
(17, 69, 33)
(35/2, 67, 32)
(18, 69, 33)
(37/2, 70, 34)
(19, 68, 33)
(39/2, 70, 34)
(20, 72, 35)
(41/2, 70, 34)
(21, 72, 35)
(43/2, 74, 36)
(47/2, 75, 37)
(24, 74, 36)
(49/2, 72, 35)
(27, 67, 32)
(55/2, 67, 32)
(30, 67, 32)
(61/2, 67, 32)
(31, 65, 31)
(63/2, 63, 30)
(32, 65, 31)
(65/2, 67, 32)
(33, 68, 33)
(67/2, 67, 32)
(35, 67, 32)
(36, 62, 29)
(73/2, 63, 30)
(37, 62, 29)
(75/2, 63, 30)
(38, 65, 31)
(77/2, 63, 30)
(39, 65, 31)
(79/2, 67, 32)
(40, 65, 31)
(81/2, 67, 32)
(41, 68, 33)
(83/2, 70, 34)
(42, 68, 33)
(85/2, 67, 32)
(43, 68, 33)
(87/2, 67, 32)
(44, 65, 31)
(89/2, 67, 32)
(45, 65, 31)
(91/2, 63, 30)
(46, 65, 31)
(93/2, 62, 29)
(47, 60, 28)
(97/2, 67, 32)
(49, 67, 32)
(103/2, 67, 32)
(52, 67, 32)
(109/2, 67, 32)
(55, 67, 32)
(111/2, 68, 33)
(56, 70, 34)
(113/2, 68, 33)
(57, 67, 32)
(115/2, 64, 30)
(58, 67, 32)
(121/2, 67, 32)
(61, 68, 33)
(123/2, 67, 32)
(62, 68, 33)
(125/2, 70, 34)
(63, 68, 33)
(127/2, 70, 34)
(64, 72, 35)
(129/2, 70, 34)
(65, 72, 35)
(131/2, 73, 36)
(66, 75, 37)
(133/2, 73, 36)
(67, 72, 35)
(135/2, 73, 36)
(68, 72, 35)
(137/2, 70, 34)
(69, 72, 35)
(139/2, 70, 34)
(70, 69, 33)
(145/2, 69, 33)
(73, 69, 33)
(151/2, 69, 33)
(76, 69, 33)
(153/2, 70, 34)
(77, 72, 35)
(155/2, 70, 34)
(78, 69, 33)
(157/2, 66, 31)
(79, 69, 33)
(163/2, 69, 33)
(82, 70, 34)
(165/2, 69, 33)
(83, 70, 34)
(167/2, 72, 35)
(84, 70, 34)
(169/2, 72, 35)
(85, 74, 36)
(171/2, 72, 35)
(86, 74, 36)
(173/2, 75, 37)
(87, 77, 38)
(175/2, 75, 37)
(88, 74, 36)
(177/2, 75, 37)
(89, 74, 36)
(179/2, 72, 35)
(90, 74, 36)
(181/2, 72, 35)
(91, 74, 36)
(187/2, 74, 36)
(94, 74, 36)
(189/2, 77, 38)
(95, 75, 37)
(191/2, 74, 36)
(96, 72, 35)
(193/2, 70, 34)
(97, 69, 33)
(199/2, 69, 33)
(100, 69, 33)
(201/2, 70, 34)
(101, 69, 33)
(203/2, 67, 32)
(102, 71, 34)
(205/2, 72, 35)
(103, 74, 36)
(211/2, 74, 36)
(106, 74, 36)
(213/2, 77, 38)
(107, 75, 37)
(215/2, 74, 36)
(108, 72, 35)
(217/2, 70, 34)
(109, 69, 33)
(223/2, 69, 33)
(112, 69, 33)
(229/2, 69, 33)
(115, 69, 33)
(241/2, 74, 36)
(121, 74, 36)
(122, 70, 34)
(245/2, 70, 34)
(247/2, 72, 35)
(124, 74, 36)
(124, 72, 35)
(249/2, 70, 34)
(125, 72, 35)
(251/2, 69, 33)
(253/2, 74, 36)
(127, 74, 36)
(128, 70, 34)
(257/2, 70, 34)
(259/2, 72, 35)
(130, 74, 36)
(130, 72, 35)
(261/2, 70, 34)
(131, 72, 35)
(263/2, 69, 33)
(265/2, 70, 34)
(133, 70, 34)
(134, 67, 32)
(269/2, 67, 32)
(271/2, 68, 33)
(136, 70, 34)
(136, 68, 33)
(273/2, 67, 32)
(137, 68, 33)
(275/2, 65, 31)
(277/2, 70, 34)
(139, 70, 34)
(140, 67, 32)
(281/2, 67, 32)
(283/2, 68, 33)
(142, 70, 34)
(142, 68, 33)
(285/2, 67, 32)
(143, 68, 33)
(287/2, 65, 31)
(289/2, 55, 25)
(289/2, 67, 32)
(145, 55, 25)
(145, 67, 32)
(295/2, 55, 25)
(295/2, 67, 32)
(148, 55, 25)
(148, 67, 32)
(301/2, 55, 25)
(301/2, 67, 32)
(151, 55, 25)
(151, 67, 32)
(303/2, 65, 31)
(152, 63, 30)
(305/2, 65, 31)
(153, 67, 32)
(307/2, 68, 33)
(154, 67, 32)
(313/2, 62, 29)
(157, 63, 30)
(315/2, 62, 29)
(158, 63, 30)
(317/2, 65, 31)
(159, 63, 30)
(319/2, 65, 31)
(160, 67, 32)
(321/2, 65, 31)
(161, 67, 32)
(323/2, 69, 33)
(162, 67, 32)
(325/2, 69, 33)
(163, 70, 34)
(327/2, 69, 33)
(164, 70, 34)
(329/2, 72, 35)
(165, 70, 34)
(331/2, 72, 35)
(166, 74, 36)
(337/2, 74, 36)
(169, 74, 36)
(343/2, 74, 36)
(172, 77, 38)
(347/2, 75, 37)
(175, 74, 36)
(353/2, 72, 35)
(178, 70, 34)
(359/2, 68, 33)
(361/2, 72, 35)
(181, 68, 33)
(365/2, 67, 32)
(367/2, 72, 35)
(184, 68, 33)
(371/2, 67, 32)
(373/2, 72, 35)
(187, 65, 31)
(377/2, 67, 32)
(190, 60, 28)
(381/2, 63, 30)
(191, 67, 32)
(383/2, 72, 35)
(192, 79, 39)
(385/2, 75, 37)
(193, 74, 36)
(391/2, 74, 36)
(196, 77, 38)
(395/2, 75, 37)
(199, 75, 37)
(401/2, 73, 36)
(202, 72, 35)
(407/2, 70, 34)
(409/2, 72, 35)
(205, 68, 33)
(413/2, 67, 32)
(415/2, 72, 35)
(208, 68, 33)
(419/2, 67, 32)
(421/2, 72, 35)
(211, 65, 31)
(425/2, 67, 32)
(214, 60, 28)
(433/2, 59, 27)
(217, 60, 28)
