(4, 69, 33)
(5, 70, 34)
(6, 70, 34)
(7, 70, 34)
(15/2, 70, 34)
(9, 68, 33)
(19/2, 67, 32)
(10, 63, 30)
(12, 63, 30)
(25/2, 67, 32)
(15, 68, 33)
(46/3, 72, 35)
(49/3, 70, 34)
(50/3, 68, 33)
(17, 79, 39)
(35/2, 77, 38)
(18, 72, 35)
(37/2, 65, 31)
(21, 68, 33)
(22, 67, 32)
(28, 57, 26)
(29, 58, 27)
(30, 58, 27)
(63/2, 58, 27)
(32, 60, 28)
(65/2, 58, 27)
(33, 56, 26)
(133/4, 60, 28)
(67/2, 63, 30)
(135/4, 68, 33)
(34, 68, 33)
(35, 67, 32)
(36, 63, 30)
(145/4, 68, 33)
(73/2, 75, 37)
(147/4, 75, 37)
(151/4, 73, 36)
(153/4, 72, 35)
(39, 70, 34)
(235/6, 77, 38)
(118/3, 80, 40)
(79/2, 80, 40)
(41, 79, 39)
(83/2, 77, 38)
(42, 75, 37)
(85/2, 73, 36)
(43, 72, 35)
(87/2, 70, 34)
(44, 68, 33)
(89/2, 67, 32)
(179/4, 75, 37)
(45, 60, 28)
(91/2, 73, 36)
(48, 70, 34)
(97/2, 68, 33)
(201/4, 67, 32)
(51, 68, 33)
(109/2, 69, 33)
(221/4, 70, 34)
(111/2, 69, 33)
(223/4, 70, 34)
(56, 72, 35)
(225/4, 67, 32)
(57, 67, 32)
(58, 68, 33)
(121/2, 69, 33)
(61, 69, 33)
(245/4, 70, 34)
(123/2, 69, 33)
(247/4, 70, 34)
(62, 72, 35)
(249/4, 70, 34)
(125/2, 68, 33)
(251/4, 67, 32)
(63, 70, 34)
(253/4, 68, 33)
(127/2, 67, 32)
(255/4, 65, 31)
(64, 68, 33)
(257/4, 67, 32)
(129/2, 65, 31)
(259/4, 64, 30)
(65, 67, 32)
(66, 68, 33)
(265/4, 67, 32)
(133/2, 65, 31)
(267/4, 67, 32)
(67, 70, 34)
(269/4, 67, 32)
(135/2, 68, 33)
(135/2, 70, 34)
(271/4, 70, 34)
(69, 60, 28)
(69, 73, 36)
(139/2, 59, 28)
(70, 70, 33)
(72, 62, 29)
(289/4, 58, 27)
(145/2, 56, 26)
(145/2, 60, 28)
(291/4, 62, 29)
(73, 62, 29)
(439/6, 58, 27)
(220/3, 62, 29)
(147/2, 62, 29)
(221/3, 58, 27)
(443/6, 58, 27)
(449/6, 62, 29)
(75, 63, 30)
(301/4, 58, 27)
(151/2, 58, 27)
(303/4, 63, 30)
(76, 63, 30)
(305/4, 58, 27)
(153/2, 58, 27)
(307/4, 63, 30)
(77, 63, 30)
(309/4, 58, 27)
(155/2, 58, 27)
(155/2, 70, 34)
(311/4, 63, 30)
(78, 63, 30)
(313/4, 66, 32)
(157/2, 66, 32)
(315/4, 63, 30)
(79, 63, 30)
(317/4, 66, 32)
(159/2, 66, 32)
(319/4, 63, 30)
(80, 63, 30)
(321/4, 66, 32)
(161/2, 66, 32)
(323/4, 63, 30)
(81, 65, 31)
(325/4, 63, 30)
(163/2, 61, 29)
(327/4, 60, 28)
(82, 61, 29)
(329/4, 63, 30)
(165/2, 65, 31)
(331/4, 67, 32)
