(2, 80, 40)
(19/8, 72, 35)
(5/2, 72, 35)
(7/2, 70, 34)
(4, 70, 34)
(35/8, 77, 38)
(9/2, 77, 38)
(5, 70, 34)
(11/2, 72, 35)
(6, 73, 36)
(13/2, 73, 36)
(29/4, 75, 37)
(15/2, 73, 36)
(8, 72, 35)
(10, 72, 35)
(83/8, 77, 38)
(21/2, 75, 37)
(23/2, 74, 36)
(12, 75, 37)
(99/8, 70, 34)
(25/2, 70, 34)
(55/4, 70, 34)
(14, 72, 35)
(57/4, 74, 36)
(29/2, 74, 36)
(15, 77, 38)
(31/2, 75, 37)
(16, 75, 37)
(33/2, 73, 36)
(17, 72, 35)
(35/2, 72, 35)
(18, 70, 34)
(147/8, 69, 33)
(37/2, 70, 34)
(19, 72, 35)
(39/2, 73, 36)
(20, 77, 38)
(163/8, 75, 37)
(41/2, 73, 36)
(21, 75, 37)
(43/2, 77, 38)
(22, 80, 40)
(45/2, 79, 39)
(23, 77, 38)
(47/2, 75, 37)
(24, 68, 33)
(49/2, 67, 32)
(25, 65, 31)
(51/2, 63, 30)
(28, 80, 40)
(227/8, 72, 35)
(57/2, 72, 35)
(59/2, 70, 34)
(30, 77, 38)
(61/2, 75, 37)
(127/4, 73, 36)
(32, 70, 34)
(129/4, 72, 35)
(65/2, 68, 33)
(67/2, 70, 34)
(69/2, 72, 35)
(71/2, 77, 38)
(73/2, 70, 34)
(151/4, 72, 35)
(38, 73, 36)
(153/4, 72, 35)
(77/2, 72, 35)
(40, 70, 34)
(161/4, 70, 34)
(41, 68, 33)
(165/4, 68, 33)
(42, 66, 32)
(169/4, 66, 32)
(43, 65, 31)
(173/4, 65, 31)
(44, 62, 29)
(177/4, 62, 29)
(45, 62, 29)
(181/4, 62, 29)
(46, 67, 32)
(185/4, 67, 32)
(47, 71, 34)
(189/4, 71, 34)
(48, 72, 35)
(193/4, 72, 35)
(49, 72, 35)
(197/4, 72, 35)
(50, 72, 35)
(201/4, 72, 35)
(101/2, 69, 33)
(103/2, 70, 34)
(105/2, 75, 37)
(215/4, 74, 36)
(54, 72, 35)
(217/4, 70, 34)
(109/2, 70, 34)
(223/4, 68, 33)
(56, 67, 32)
(225/4, 65, 31)
(113/2, 74, 36)
(231/4, 72, 35)
(58, 70, 34)
(233/4, 68, 33)
(117/2, 77, 38)
(239/4, 79, 39)
(60, 77, 38)
(241/4, 75, 37)
(121/2, 74, 36)
(243/4, 72, 35)
(61, 74, 36)
(245/4, 75, 37)
