(0, 69, 33)
(0, 68, 32)
(1/2, 66, 31)
(1, 68, 32)
(3/2, 69, 33)
(2, 71, 34)
(5/2, 76, 37)
(3, 75, 36)
(7/2, 76, 37)
(4, 80, 39)
(9/2, 76, 37)
(5, 71, 34)
(11/2, 73, 35)
(6, 71, 34)
(25/4, 69, 33)
(27/4, 68, 32)
(7, 68, 32)
(8, 69, 33)
(8, 68, 32)
(17/2, 66, 31)
(9, 68, 32)
(19/2, 73, 35)
(10, 72, 34)
(21/2, 73, 35)
(11, 75, 36)
(23/2, 73, 35)
(12, 76, 37)
(25/2, 75, 36)
(13, 70, 33)
(27/2, 71, 34)
(14, 75, 36)
(57/4, 73, 35)
(59/4, 71, 34)
(15, 71, 34)
(16, 71, 34)
(33/2, 66, 31)
(17, 66, 31)
(35/2, 68, 32)
(18, 71, 34)
(37/2, 66, 31)
(19, 66, 31)
(39/2, 68, 32)
(20, 73, 35)
(41/2, 71, 34)
(21, 69, 33)
(43/2, 71, 34)
(22, 68, 32)
(45/2, 66, 31)
(23, 63, 29)
(24, 61, 28)
(49/2, 63, 29)
(25, 64, 30)
(51/2, 66, 31)
(26, 68, 32)
(53/2, 71, 34)
(27, 71, 34)
(28, 61, 28)
(57/2, 63, 29)
(29, 64, 30)
(59/2, 66, 31)
(30, 68, 32)
(61/2, 71, 34)
(31, 71, 34)
(32, 69, 33)
(32, 68, 32)
(65/2, 66, 31)
(33, 68, 32)
(67/2, 69, 33)
(34, 71, 34)
(69/2, 76, 37)
(35, 75, 36)
(71/2, 76, 37)
(36, 80, 39)
(73/2, 76, 37)
(37, 71, 34)
(75/2, 69, 33)
(38, 68, 32)
(153/4, 66, 31)
(155/4, 64, 30)
(39, 64, 30)
(161/4, 76, 37)
(163/4, 75, 36)
(165/4, 76, 37)
(167/4, 73, 35)
(169/4, 71, 34)
(171/4, 70, 33)
(173/4, 71, 34)
(175/4, 68, 32)
(177/4, 68, 32)
(89/2, 71, 34)
(179/4, 76, 37)
(45, 80, 39)
(181/4, 75, 36)
(183/4, 76, 37)
(185/4, 73, 35)
(93/2, 64, 30)
(187/4, 66, 31)
(189/4, 68, 32)
(191/4, 63, 29)
(193/4, 64, 30)
(195/4, 69, 33)
(197/4, 68, 32)
(99/2, 68, 32)
(199/4, 67, 31)
(201/4, 68, 32)
(203/4, 76, 37)
(205/4, 72, 34)
(103/2, 72, 34)
(207/4, 73, 35)
(209/4, 74, 35)
(211/4, 75, 36)
(213/4, 67, 31)
(215/4, 68, 32)
(217/4, 71, 34)
(109/2, 70, 33)
(219/4, 68, 32)
(221/4, 68, 32)
(223/4, 63, 29)
(225/4, 63, 29)
(113/2, 66, 31)
(227/4, 69, 33)
(229/4, 69, 33)
(231/4, 68, 32)
(233/4, 66, 31)
(117/2, 69, 33)
(235/4, 73, 35)
(237/4, 73, 35)
(239/4, 71, 34)
(241/4, 76, 37)
(243/4, 75, 36)
(245/4, 73, 35)
(247/4, 66, 31)
(249/4, 71, 34)
(251/4, 69, 33)
(253/4, 68, 32)
(255/4, 66, 31)
(257/4, 64, 30)
(259/4, 60, 27)
(261/4, 61, 28)
(263/4, 69, 33)
(265/4, 68, 32)
(133/2, 67, 31)
(267/4, 68, 32)
(67, 67, 31)
(269/4, 68, 32)
(135/2, 69, 33)
(271/4, 68, 32)
(273/4, 76, 37)
(275/4, 69, 33)
(277/4, 69, 33)
(279/4, 69, 33)
(281/4, 68, 32)
(141/2, 67, 31)
(283/4, 68, 32)
(71, 67, 31)
(285/4, 68, 32)
(143/2, 71, 34)
(287/4, 68, 32)
(289/4, 76, 37)
(291/4, 75, 36)
(293/4, 76, 37)
(295/4, 73, 35)
(297/4, 71, 34)
(299/4, 70, 33)
(301/4, 69, 33)
(303/4, 68, 32)
(305/4, 76, 37)
(307/4, 71, 34)
(309/4, 68, 32)
(311/4, 64, 30)
(313/4, 69, 33)
(157/2, 63, 29)
(315/4, 64, 30)
(79, 64, 30)
(238/3, 68, 32)
(239/3, 68, 32)
(80, 69, 33)
(80, 68, 32)
(241/3, 66, 31)
(242/3, 68, 32)
(81, 69, 33)
(244/3, 66, 31)
(245/3, 73, 35)
(82, 71, 34)
(83, 76, 37)
(253/3, 80, 39)
(254/3, 78, 38)
(85, 78, 38)
(85, 76, 37)
(256/3, 75, 36)
(257/3, 73, 35)
(86, 71, 34)
(87, 73, 35)
(265/3, 73, 35)
(266/3, 71, 34)
(89, 71, 34)
(89, 69, 33)
(268/3, 68, 32)
(269/3, 66, 31)
(90, 68, 32)
(91, 76, 37)
(277/3, 66, 31)
(278/3, 68, 32)
(93, 70, 33)
(280/3, 76, 37)
(281/3, 75, 36)
(94, 73, 35)
(95, 71, 34)
(286/3, 71, 34)
(287/3, 71, 34)
(96, 71, 34)
(289/3, 66, 31)
(290/3, 66, 31)
(97, 66, 31)
(292/3, 69, 33)
(293/3, 68, 32)
(98, 71, 34)
(295/3, 66, 31)
(296/3, 66, 31)
(99, 66, 31)
(298/3, 69, 33)
(299/3, 68, 32)
(100, 75, 36)
(100, 73, 35)
(301/3, 72, 34)
(302/3, 73, 35)
(101, 76, 37)
(304/3, 75, 36)
(305/3, 73, 35)
(102, 73, 35)
(103, 72, 34)
(313/3, 61, 28)
(314/3, 63, 29)
(105, 64, 30)
(316/3, 64, 30)
(317/3, 66, 31)
(106, 68, 32)
(319/3, 68, 32)
(320/3, 69, 33)
(107, 71, 34)
(325/3, 61, 28)
(326/3, 63, 29)
(109, 64, 30)
(328/3, 64, 30)
(329/3, 66, 31)
(110, 68, 32)
(331/3, 68, 32)
(332/3, 69, 33)
(111, 71, 34)
(337/3, 70, 33)
(338/3, 71, 34)
(113, 74, 36)
(340/3, 73, 35)
(341/3, 71, 34)
(114, 76, 37)
(115, 88, 44)
(349/3, 83, 41)
(350/3, 80, 39)
(117, 76, 37)
(352/3, 71, 34)
(353/3, 68, 32)
(118, 69, 33)
(355/3, 66, 31)
(356/3, 71, 34)
(119, 68, 32)
(361/3, 64, 30)
(362/3, 66, 31)
(121, 68, 32)
(364/3, 68, 32)
(365/3, 70, 33)
(122, 71, 34)
(367/3, 71, 34)
(368/3, 73, 35)
(123, 75, 36)
(373/3, 64, 30)
(374/3, 66, 31)
(125, 68, 32)
(376/3, 68, 32)
(377/3, 70, 33)
(126, 71, 34)
(379/3, 71, 34)
(380/3, 73, 35)
(127, 75, 36)
(382/3, 71, 34)
(383/3, 71, 34)
(128, 71, 34)
(385/3, 70, 33)
(386/3, 71, 34)
(129, 74, 36)
(388/3, 73, 35)
(389/3, 71, 34)
(130, 76, 37)
(131, 88, 44)
(397/3, 83, 41)
(398/3, 80, 39)
(133, 76, 37)
(400/3, 71, 34)
(401/3, 68, 32)
(134, 71, 34)
(403/3, 66, 31)
(404/3, 68, 32)
(135, 64, 30)
(541/4, 63, 29)
(271/2, 64, 30)
(543/4, 66, 31)
(136, 68, 32)
(545/4, 71, 34)
(273/2, 76, 37)
(547/4, 80, 39)
(137, 81, 40)
(549/4, 78, 38)
(275/2, 76, 37)
(551/4, 75, 36)
(138, 78, 38)
(553/4, 76, 37)
(277/2, 75, 36)
(555/4, 76, 37)
(139, 79, 39)
(557/4, 76, 37)
(279/2, 75, 36)
(559/4, 73, 35)
(140, 73, 35)
(561/4, 71, 34)
(281/2, 70, 33)
(563/4, 71, 34)
(141, 76, 37)
(565/4, 73, 35)
(283/2, 70, 33)
(567/4, 73, 35)
(142, 71, 34)
(569/4, 69, 33)
(285/2, 66, 31)
(571/4, 69, 33)
(143, 68, 32)
(573/4, 63, 29)
(287/2, 64, 30)
(575/4, 66, 31)
(144, 68, 32)
(577/4, 67, 31)
(289/2, 68, 32)
(579/4, 70, 33)
(145, 71, 34)
(581/4, 70, 33)
(291/2, 71, 34)
(583/4, 72, 34)
(146, 73, 35)
(585/4, 72, 34)
(293/2, 73, 35)
(587/4, 75, 36)
(147, 76, 37)
(589/4, 75, 36)
(295/2, 76, 37)
(591/4, 77, 37)
(148, 78, 38)
(593/4, 77, 37)
(297/2, 78, 38)
(595/4, 82, 40)
(149, 83, 41)
(597/4, 82, 40)
(299/2, 83, 41)
(599/4, 87, 43)
(150, 90, 45)
(601/4, 89, 44)
(301/2, 90, 45)
(603/4, 94, 47)
(151, 95, 48)
(605/4, 90, 45)
(303/2, 90, 45)
(607/4, 88, 44)
(152, 87, 43)
(609/4, 83, 41)
(305/2, 81, 40)
(611/4, 78, 38)
(153, 76, 37)
(613/4, 80, 39)
(307/2, 83, 41)
(615/4, 88, 44)
(154, 87, 43)
(617/4, 83, 41)
(309/2, 81, 40)
(619/4, 78, 38)
(155, 76, 37)
(621/4, 80, 39)
(311/2, 88, 44)
(623/4, 87, 43)
(156, 87, 43)
(625/4, 85, 42)
(313/2, 84, 41)
(627/4, 85, 42)
(157, 84, 41)
(629/4, 85, 42)
(315/2, 81, 40)
(631/4, 78, 38)
(158, 81, 40)
(633/4, 78, 38)
(317/2, 75, 36)
(635/4, 73, 35)
(159, 72, 34)
(637/4, 68, 32)
(319/2, 66, 31)
(639/4, 63, 29)
(160, 61, 28)
(641/4, 64, 30)
(321/2, 60, 27)
(643/4, 63, 29)
(161, 61, 28)
(645/4, 64, 30)
(323/2, 63, 29)
(647/4, 66, 31)
(162, 64, 30)
(649/4, 68, 32)
(325/2, 66, 31)
(651/4, 69, 33)
(163, 68, 32)
(653/4, 71, 34)
(327/2, 68, 32)
(655/4, 72, 34)
(164, 69, 33)
(657/4, 73, 35)
(329/2, 72, 34)
(659/4, 75, 36)
(165, 73, 35)
(661/4, 76, 37)
(331/2, 75, 36)
(663/4, 78, 38)
(166, 76, 37)
(665/4, 80, 39)
(333/2, 78, 38)
(667/4, 81, 40)
(167, 80, 39)
(669/4, 83, 41)
(335/2, 81, 40)
(671/4, 85, 42)
(168, 83, 41)
(673/4, 90, 45)
(337/2, 88, 44)
(675/4, 86, 43)
(169, 85, 42)
(677/4, 83, 41)
(339/2, 85, 42)
(679/4, 86, 43)
(170, 88, 44)
(681/4, 87, 43)
(341/2, 88, 44)
(683/4, 90, 45)
(171, 91, 46)
(685/4, 88, 44)
(343/2, 87, 43)
(687/4, 88, 44)
(172, 99, 50)
(347/2, 75, 36)
(697/4, 76, 37)
(349/2, 80, 39)
(699/4, 76, 37)
(175, 71, 34)
(701/4, 68, 32)
(351/2, 64, 30)
(703/4, 66, 31)
