(0, 74, 36)
(1/2, 71, 34)
(3/4, 69, 33)
(1, 71, 34)
(5/4, 72, 35)
(3/2, 74, 36)
(7/4, 71, 34)
(2, 68, 32)
(5/2, 69, 33)
(3, 71, 34)
(7/2, 72, 35)
(4, 74, 36)
(9/2, 76, 37)
(11/2, 81, 40)
(23/4, 77, 38)
(6, 76, 37)
(7, 81, 40)
(29/4, 77, 38)
(15/2, 76, 37)
(17/2, 81, 40)
(35/4, 77, 38)
(9, 76, 37)
(37/4, 72, 35)
(19/2, 77, 38)
(39/4, 76, 37)
(10, 74, 36)
(41/4, 72, 35)
(21/2, 72, 35)
(21/2, 71, 34)
(43/4, 69, 33)
(11, 68, 32)
(45/4, 69, 33)
(23/2, 71, 34)
(47/4, 72, 35)
(12, 74, 36)
(25/2, 71, 34)
(51/4, 69, 33)
(13, 71, 34)
(53/4, 72, 35)
(27/2, 74, 36)
(55/4, 71, 34)
(14, 68, 32)
(29/2, 69, 33)
(15, 71, 34)
(31/2, 72, 35)
(16, 74, 36)
(33/2, 76, 37)
(35/2, 81, 40)
(71/4, 77, 38)
(18, 76, 37)
(19, 81, 40)
(77/4, 77, 38)
(39/2, 76, 37)
(41/2, 81, 40)
(83/4, 77, 38)
(21, 76, 37)
(85/4, 72, 35)
(43/2, 69, 33)
(87/4, 65, 31)
(22, 62, 29)
(89/4, 68, 32)
(45/2, 69, 33)
(91/4, 64, 30)
(23, 60, 28)
(93/4, 64, 30)
(47/2, 69, 33)
(95/4, 72, 35)
(24, 74, 36)
(49/2, 71, 34)
(99/4, 69, 33)
(25, 71, 34)
(101/4, 72, 35)
(51/2, 74, 36)
(103/4, 67, 32)
(26, 71, 34)
(53/2, 72, 35)
(27, 77, 38)
(55/2, 71, 34)
(111/4, 69, 33)
(28, 71, 34)
(113/4, 72, 35)
(57/2, 74, 36)
(115/4, 67, 32)
(29, 71, 34)
(59/2, 72, 35)
(30, 81, 40)
(61/2, 79, 39)
(31, 78, 38)
(63/2, 79, 39)
(63/2, 77, 38)
(32, 76, 37)
(65/2, 74, 36)
(33, 79, 39)
(67/2, 72, 35)
(34, 77, 38)
(69/2, 76, 37)
(35, 74, 36)
(141/4, 72, 35)
(71/2, 71, 34)
(143/4, 72, 35)
(36, 74, 36)
(73/2, 71, 34)
(147/4, 69, 33)
(37, 71, 34)
(149/4, 72, 35)
(75/2, 74, 36)
(151/4, 71, 34)
(38, 68, 32)
(77/2, 69, 33)
(39, 71, 34)
(79/2, 72, 35)
(40, 74, 36)
(81/2, 76, 37)
(83/2, 81, 40)
(167/4, 77, 38)
(42, 76, 37)
(43, 81, 40)
(173/4, 77, 38)
(87/2, 76, 37)
(89/2, 81, 40)
(179/4, 77, 38)
(45, 76, 37)
(181/4, 72, 35)
(91/2, 69, 33)
(183/4, 65, 31)
(46, 62, 29)
(185/4, 68, 32)
(93/2, 69, 33)
(187/4, 64, 30)
(47, 60, 28)
(189/4, 64, 30)
(95/2, 69, 33)
(191/4, 72, 35)
(48, 74, 36)
(97/2, 71, 34)
(195/4, 69, 33)
(49, 71, 34)
(197/4, 72, 35)
(99/2, 74, 36)
(199/4, 67, 32)
(50, 71, 34)
(101/2, 72, 35)
(51, 77, 38)
(103/2, 71, 34)
(207/4, 69, 33)
(52, 71, 34)
(209/4, 72, 35)
(105/2, 74, 36)
(211/4, 67, 32)
(53, 71, 34)
(107/2, 72, 35)
(54, 84, 42)
(109/2, 83, 41)
(55, 81, 40)
(111/2, 83, 41)
(111/2, 81, 40)
(56, 79, 39)
(113/2, 78, 38)
(57, 83, 41)
(115/2, 76, 37)
(58, 81, 40)
(117/2, 79, 39)
(59, 78, 38)
(237/4, 75, 36)
(119/2, 71, 34)
(239/4, 72, 35)
(60, 74, 36)
(121/2, 71, 34)
(243/4, 69, 33)
(61, 71, 34)
(245/4, 72, 35)
(123/2, 74, 36)
(247/4, 71, 34)
(62, 68, 32)
(125/2, 69, 33)
(63, 71, 34)
(127/2, 72, 35)
(64, 74, 36)
(129/2, 76, 37)
(131/2, 81, 40)
(263/4, 77, 38)
(66, 76, 37)
(67, 81, 40)
(269/4, 77, 38)
(135/2, 76, 37)
(137/2, 81, 40)
(275/4, 77, 38)
(69, 76, 37)
(277/4, 72, 35)
(139/2, 69, 33)
(279/4, 65, 31)
(70, 62, 29)
(281/4, 68, 32)
(141/2, 69, 33)
(283/4, 64, 30)
(71, 60, 28)
(285/4, 64, 30)
(143/2, 69, 33)
(287/4, 72, 35)
(72, 71, 34)
(289/4, 68, 32)
(145/2, 64, 30)
(291/4, 68, 32)
(73, 71, 34)
(293/4, 74, 36)
(147/2, 74, 36)
(147/2, 72, 35)
(295/4, 71, 34)
(74, 69, 33)
(297/4, 71, 34)
(149/2, 72, 35)
(299/4, 74, 36)
(75, 76, 37)
(301/4, 72, 35)
(151/2, 69, 33)
(303/4, 65, 31)
(76, 64, 30)
(305/4, 68, 32)
(153/2, 69, 33)
(307/4, 64, 30)
(77, 60, 28)
(309/4, 64, 30)
(155/2, 69, 33)
(311/4, 72, 35)
(78, 71, 34)
(313/4, 68, 32)
(157/2, 64, 30)
(315/4, 68, 32)
(79, 71, 34)
(317/4, 74, 36)
(159/2, 74, 36)
(159/2, 72, 35)
(319/4, 71, 34)
(80, 69, 33)
(321/4, 71, 34)
(161/2, 72, 35)
(323/4, 74, 36)
(81, 72, 35)
(325/4, 71, 34)
(163/2, 72, 35)
(327/4, 74, 36)
(82, 76, 37)
(329/4, 78, 38)
(165/2, 79, 39)
(83, 79, 39)
(167/2, 79, 39)
(84, 79, 39)
(86, 76, 37)
(173/2, 74, 36)
(87, 74, 36)
(87, 72, 35)
(175/2, 71, 34)
(88, 72, 35)
(177/2, 74, 36)
(89, 79, 39)
(179/2, 79, 39)
(90, 79, 39)
(92, 76, 37)
(185/2, 74, 36)
(93, 74, 36)
(93, 72, 35)
(187/2, 71, 34)
(94, 72, 35)
(189/2, 74, 36)
(95, 67, 32)
(191/2, 67, 32)
(96, 74, 36)
(96, 72, 35)
(193/2, 71, 34)
(97, 72, 35)
(195/2, 74, 36)
(98, 67, 32)
