(6, 71, 34)
(9, 72, 35)
(12, 75, 36)
(14, 76, 37)
(29/2, 78, 38)
(15, 78, 38)
(33/2, 71, 34)
(18, 79, 39)
(39/2, 78, 38)
(41/2, 74, 36)
(41/2, 76, 37)
(21, 78, 38)
(22, 76, 37)
(45/2, 74, 36)
(47/2, 71, 34)
(24, 74, 36)
(25, 72, 35)
(51/2, 69, 33)
(53/2, 66, 31)
(27, 66, 31)
(29, 67, 32)
(59/2, 69, 33)
(30, 71, 34)
(33, 72, 35)
(36, 75, 36)
(73/2, 75, 36)
(37, 75, 36)
(75/2, 75, 36)
(38, 76, 37)
(77/2, 78, 38)
(39, 78, 38)
(81/2, 71, 34)
(42, 79, 39)
(87/2, 78, 38)
(89/2, 76, 37)
(45, 74, 36)
(46, 71, 34)
(93/2, 69, 33)
(95/2, 66, 31)
(48, 71, 34)
(49, 67, 32)
(99/2, 66, 31)
(101/2, 64, 30)
(101/2, 62, 29)
(51, 64, 30)
(53, 62, 29)
(107/2, 64, 30)
(54, 66, 31)
(109/2, 64, 30)
(55, 63, 29)
(56, 63, 29)
(113/2, 64, 30)
(57, 66, 31)
(115/2, 64, 30)
(58, 63, 29)
(59, 66, 31)
(119/2, 67, 32)
(60, 71, 34)
(121/2, 69, 33)
(61, 67, 32)
(123/2, 66, 31)
(62, 67, 32)
(125/2, 69, 33)
(63, 62, 29)
(65, 66, 31)
(131/2, 67, 32)
(66, 69, 33)
(133/2, 67, 32)
(67, 66, 31)
(68, 66, 31)
(137/2, 67, 32)
(69, 69, 33)
(139/2, 67, 32)
(70, 66, 31)
(71, 69, 33)
(143/2, 71, 34)
(72, 74, 36)
(145/2, 72, 35)
(73, 71, 34)
(147/2, 70, 33)
(74, 71, 34)
(149/2, 73, 35)
(75, 66, 31)
(77, 71, 34)
(155/2, 74, 36)
(78, 78, 38)
(157/2, 83, 41)
(79, 86, 43)
(159/2, 84, 42)
(80, 82, 40)
(161/2, 83, 41)
(81, 79, 39)
(163/2, 77, 37)
(82, 78, 38)
(165/2, 76, 37)
(83, 73, 35)
(167/2, 74, 36)
(84, 71, 34)
(171/2, 78, 38)
(87, 77, 37)
(177/2, 76, 37)
(90, 75, 36)
(183/2, 76, 37)
(93, 75, 36)
(189/2, 74, 36)
(96, 73, 35)
(195/2, 74, 36)
(99, 73, 35)
(201/2, 72, 35)
(102, 71, 34)
(105, 72, 35)
(108, 75, 36)
(217/2, 75, 36)
(109, 75, 36)
(219/2, 75, 36)
(110, 76, 37)
(221/2, 78, 38)
(111, 78, 38)
(225/2, 71, 34)
(114, 79, 39)
(231/2, 78, 38)
(233/2, 75, 36)
(117, 78, 38)
(118, 76, 37)
(237/2, 74, 36)
(239/2, 71, 34)
(120, 74, 36)
(121, 72, 35)
(243/2, 69, 33)
(245/2, 66, 31)
(123, 66, 31)
(499/4, 69, 33)
(125, 67, 32)
(251/2, 66, 31)
(126, 66, 31)
(128, 69, 33)
(128, 67, 32)
