(34, 63, 30)
(38, 65, 31)
(40, 68, 33)
(43, 67, 32)
(44, 65, 31)
(45, 63, 30)
(46, 73, 36)
(49, 72, 35)
(50, 70, 34)
(51, 68, 33)
(53, 67, 32)
(54, 65, 31)
(55, 64, 30)
(59, 65, 31)
(60, 70, 34)
(63, 77, 38)
(64, 82, 41)
(67, 82, 41)
(68, 87, 44)
(69, 79, 39)
(70, 82, 41)
(71, 80, 40)
(72, 79, 39)
(73, 77, 38)
(74, 85, 43)
(77, 84, 42)
(78, 82, 41)
(79, 81, 40)
(80, 87, 44)
(83, 86, 43)
(84, 84, 42)
(85, 82, 41)
(86, 81, 40)
(87, 79, 39)
(88, 77, 38)
(89, 76, 37)
(91, 77, 38)
(92, 77, 38)
(94, 67, 32)
(100, 77, 38)
(102, 79, 39)
(104, 82, 41)
(107, 81, 40)
(108, 79, 39)
(109, 77, 38)
(110, 87, 44)
(113, 86, 43)
(114, 84, 42)
(115, 82, 41)
(116, 81, 40)
(117, 79, 39)
(118, 84, 42)
(120, 82, 41)
(121, 81, 40)
(122, 79, 39)
(123, 77, 38)
(124, 86, 43)
(129, 77, 38)
(130, 76, 37)
(131, 79, 39)
(132, 84, 42)
(133, 75, 37)
(134, 74, 36)
(135, 77, 38)
(136, 82, 41)
(137, 73, 36)
(138, 72, 35)
(139, 82, 41)
(141, 81, 40)
(142, 79, 39)
(143, 77, 38)
(144, 80, 40)
(147, 74, 36)
(148, 75, 37)
(149, 77, 38)
(150, 79, 39)
(153, 79, 39)
(154, 77, 38)
(155, 75, 37)
(156, 74, 36)
(157, 77, 38)
(158, 82, 41)
(161, 79, 39)
(162, 74, 36)
(165, 75, 37)
(166, 69, 33)
(168, 70, 34)
(169, 75, 37)
(170, 72, 35)
(343/2, 70, 34)
(172, 70, 34)
(192, 70, 34)
(193, 72, 35)
(387/2, 74, 36)
(194, 75, 37)
(389/2, 77, 38)
(195, 79, 39)
(391/2, 81, 40)
(196, 82, 41)
(393/2, 81, 40)
(197, 82, 41)
(395/2, 81, 40)
(198, 79, 39)
(397/2, 77, 38)
(199, 79, 39)
(399/2, 77, 38)
(200, 75, 37)
(401/2, 72, 35)
(201, 74, 36)
(403/2, 75, 37)
(202, 77, 38)
(405/2, 79, 39)
(203, 77, 38)
(407/2, 79, 39)
(204, 81, 40)
(409/2, 79, 39)
(205, 81, 40)
(411/2, 79, 39)
(206, 77, 38)
(413/2, 75, 37)
(207, 77, 38)
(415/2, 75, 37)
(208, 74, 36)
(417/2, 72, 35)
(209, 74, 36)
(419/2, 72, 35)
(210, 70, 34)
(212, 79, 39)
(425/2, 77, 38)
(213, 79, 39)
(427/2, 77, 38)
(214, 75, 37)
(429/2, 74, 36)
(215, 75, 37)
(431/2, 74, 36)
(216, 72, 35)
(433/2, 74, 36)
(217, 72, 35)
(435/2, 74, 36)
(218, 72, 35)
(437/2, 74, 36)
(219, 72, 35)
(439/2, 74, 36)
(220, 71, 34)
(441/2, 72, 35)
(221, 71, 34)
(443/2, 72, 35)
(222, 74, 36)
(445/2, 75, 37)
(223, 74, 36)
(447/2, 75, 37)
(224, 77, 38)
(236, 75, 37)
(240, 78, 38)
(481/2, 79, 39)
(241, 78, 38)
(483/2, 79, 39)
(242, 81, 40)
(485/2, 82, 41)
(243, 81, 40)
(487/2, 82, 41)
(244, 84, 42)
(489/2, 82, 41)
(245, 81, 40)
(491/2, 79, 39)
(246, 78, 38)
(493/2, 75, 37)
(247, 74, 36)
(495/2, 72, 35)
(248, 70, 34)
(250, 74, 36)
(251, 79, 39)
(252, 82, 41)
(256, 87, 44)
(265, 86, 43)
(266, 84, 42)
(267, 82, 41)
(268, 81, 40)
(272, 67, 32)
(273, 69, 33)
(547/2, 70, 34)
(274, 72, 35)
(549/2, 74, 36)
(275, 76, 37)
(551/2, 78, 38)
(276, 79, 39)
(553/2, 77, 38)
(277, 79, 39)
(555/2, 77, 38)
(278, 75, 37)
(557/2, 74, 36)
(279, 75, 37)
(559/2, 74, 36)
(280, 72, 35)
(561/2, 70, 34)
(281, 72, 35)
(563/2, 70, 34)
(282, 69, 33)
(284, 69, 33)
(569/2, 67, 32)
(285, 69, 33)
(571/2, 67, 32)
(286, 66, 31)
(304, 75, 37)
(609/2, 77, 38)
(305, 75, 37)
(611/2, 77, 38)
(306, 75, 37)
(613/2, 74, 36)
(307, 75, 37)
(615/2, 74, 36)
(308, 72, 35)
(617/2, 74, 36)
(309, 72, 35)
(619/2, 74, 36)
(310, 72, 35)
(621/2, 70, 34)
(311, 72, 35)
(623/2, 70, 34)
(312, 68, 33)
(625/2, 70, 34)
(313, 68, 33)
(627/2, 70, 34)
(314, 68, 33)
(629/2, 67, 32)
(315, 68, 33)
(631/2, 67, 32)
(316, 66, 31)
(317, 67, 32)
(318, 66, 31)
(319, 67, 32)
(320, 69, 33)
(324, 69, 33)
(325, 70, 34)
(326, 69, 33)
(327, 70, 34)
(328, 72, 35)
(344, 75, 37)
(350, 77, 38)
(352, 80, 40)
(355, 79, 39)
(356, 77, 38)
(357, 75, 37)
(358, 85, 43)
(361, 84, 42)
(362, 82, 41)
(363, 80, 40)
(364, 79, 39)
(365, 81, 40)
(366, 82, 41)
(369, 82, 41)
(370, 84, 42)
(371, 86, 43)
(372, 87, 44)
(374, 86, 43)
(375, 84, 42)
(376, 83, 41)
(377, 84, 42)
(378, 86, 43)
(381, 84, 42)
(383, 82, 41)
(385, 80, 40)
(386, 79, 39)
(387, 77, 38)
(388, 76, 37)
(389, 77, 38)
(390, 79, 39)
(393, 77, 38)
(395, 75, 37)
(397, 73, 36)
(399, 72, 35)
(401, 77, 38)
(402, 72, 35)
(403, 74, 36)
(404, 75, 37)
(406, 77, 38)
(408, 79, 39)
(410, 80, 40)
(412, 82, 41)
(415, 73, 36)
(416, 72, 35)
(419, 75, 37)
(420, 74, 36)
(423, 77, 38)
(425, 75, 37)
(426, 74, 36)
(427, 72, 35)
(428, 70, 34)
(429, 69, 33)
(430, 75, 37)
(431, 67, 32)
(432, 65, 31)
(444, 70, 34)
(446, 72, 35)
(448, 75, 37)
(451, 74, 36)
(452, 72, 35)
(453, 70, 34)
(454, 80, 40)
(457, 80, 40)
(458, 79, 39)
(459, 77, 38)
(460, 76, 37)
(462, 77, 38)
(464, 80, 40)
(467, 79, 39)
(468, 77, 38)
(469, 75, 37)
(470, 85, 43)
(473, 85, 43)
(474, 84, 42)
(475, 82, 41)
(476, 80, 40)
(477, 82, 41)
(478, 84, 42)
(481, 84, 42)
(482, 82, 41)
(483, 80, 40)
(484, 79, 39)
(485, 80, 40)
(486, 82, 41)
(489, 82, 41)
(490, 80, 40)
(491, 79, 39)
(492, 77, 38)
(985/2, 79, 39)
(493, 77, 38)
(987/2, 79, 39)
(494, 80, 39)
(989/2, 81, 40)
(495, 80, 39)
(991/2, 81, 40)
(496, 82, 41)
(993/2, 84, 42)
(497, 82, 41)
(995/2, 84, 42)
(498, 85, 42)
(997/2, 86, 43)
(499, 85, 42)
(999/2, 86, 43)
(500, 87, 44)
(504, 89, 45)
(508, 91, 46)
(513, 87, 44)
(514, 84, 42)
(515, 80, 40)
(516, 79, 39)
(521, 79, 39)
(522, 82, 41)
(523, 80, 40)
(524, 79, 39)
(528, 80, 40)
(532, 84, 42)
(540, 82, 41)
(544, 84, 42)
(548, 87, 44)
(1097/2, 86, 43)
(549, 87, 44)
(1099/2, 86, 43)
(550, 84, 42)
(1101/2, 82, 41)
(551, 84, 42)
(1103/2, 82, 41)
(552, 80, 40)
(1105/2, 79, 39)
(553, 80, 40)
(1107/2, 79, 39)
(554, 77, 38)
(1109/2, 75, 37)
(555, 74, 36)
(1111/2, 72, 35)
(556, 70, 34)
(1113/2, 67, 32)
(557, 65, 31)
(1115/2, 62, 29)
(558, 65, 31)
(1117/2, 63, 30)
(559, 70, 34)
(1119/2, 68, 33)
(560, 67, 32)
(563, 65, 31)
(564, 63, 30)
(1129/2, 65, 31)
(565, 67, 32)
(1131/2, 68, 33)
(566, 70, 34)
(568, 68, 33)
(1137/2, 70, 34)
(569, 68, 33)
(1139/2, 70, 34)
(570, 72, 35)
(1141/2, 74, 36)
(571, 72, 35)
(1143/2, 74, 36)
(572, 75, 37)
(1145/2, 77, 38)
(573, 79, 39)
(1147/2, 80, 40)
(574, 82, 41)
(576, 80, 40)
(1153/2, 82, 41)
(577, 80, 40)
(1155/2, 82, 41)
(578, 84, 42)
(1157/2, 86, 43)
(579, 84, 42)
(1159/2, 86, 43)
(580, 87, 44)
(582, 82, 41)
(586, 79, 39)
(590, 75, 37)
(592, 70, 34)
(595, 67, 32)
(1191/2, 63, 30)
(596, 58, 27)
(600, 58, 27)
(604, 58, 27)
(10016, 58, 27)
(10018, 60, 28)
(10020, 63, 30)
(10023, 62, 29)
(10024, 60, 28)
(10025, 58, 27)
(10026, 68, 33)
(10029, 67, 32)
(10030, 65, 31)
(10031, 63, 30)
(10032, 62, 29)
(10033, 65, 31)
(10034, 63, 30)
(10035, 61, 29)
(10037, 60, 28)
(10038, 58, 27)
(10039, 56, 26)
(10041, 65, 31)
(10042, 59, 27)
(10045, 60, 28)
(10046, 58, 27)
(10047, 56, 26)
(10048, 55, 25)
(10050, 67, 32)
(10051, 65, 31)
(10052, 65, 31)
(10055, 72, 35)
(10056, 70, 34)
(10058, 69, 33)
(10061, 70, 34)
(10062, 77, 38)
(10065, 70, 34)
(10066, 75, 37)
(10068, 79, 39)
(10069, 75, 37)
(10070, 79, 39)
(10071, 80, 40)
(10073, 65, 31)
(10074, 64, 30)
(10075, 65, 31)
(10076, 67, 32)
(10078, 60, 28)
(10079, 72, 35)
(10080, 70, 34)
(10081, 69, 33)
(10082, 67, 32)
(10083, 66, 31)
(10084, 67, 32)
(10086, 70, 34)
(10089, 67, 32)
(10090, 72, 35)
(10092, 65, 31)
(10094, 67, 32)
(10096, 70, 34)
(10099, 70, 34)
(10101, 69, 33)
(10102, 70, 34)
(10103, 72, 35)
(10104, 74, 36)
(10105, 75, 37)
(10106, 77, 38)
(10108, 70, 34)
(10110, 69, 33)
(10111, 67, 32)
(10112, 72, 35)
(10114, 74, 36)
(10116, 77, 38)
(10119, 76, 37)
(10120, 74, 36)
(10121, 72, 35)
(10122, 82, 41)
(10125, 81, 40)
(10126, 79, 39)
(10127, 78, 38)
(10128, 77, 38)
(10129, 74, 36)
(10130, 72, 35)
(10131, 76, 37)
(10132, 75, 37)
(10133, 72, 35)
(10134, 70, 34)
(10135, 73, 36)
(10137, 70, 34)
(20275/2, 68, 33)
(10138, 67, 32)
(10140, 72, 35)
(10142, 69, 33)
(10143, 70, 34)
(10144, 72, 35)
(10145, 74, 36)
(10146, 75, 37)
(10147, 77, 38)
(10148, 70, 34)
(10151, 70, 34)
(10152, 69, 33)
(10153, 70, 34)
(10154, 72, 35)
(10157, 74, 36)
(20315/2, 72, 35)
(10158, 70, 34)
(10159, 77, 38)
(10160, 75, 37)
(10163, 55, 25)
(10164, 67, 32)
(10167, 63, 30)
(10168, 62, 29)
(10169, 67, 32)
(10170, 65, 31)
(10171, 63, 30)
(10172, 62, 29)
(10184, 65, 31)
(10185, 67, 32)
(20371/2, 68, 33)
(10186, 70, 34)
(20373/2, 72, 35)
(10187, 74, 36)
(20375/2, 75, 37)
(10188, 77, 38)
(20377/2, 75, 37)
(10189, 77, 38)
(20379/2, 75, 37)
(10190, 74, 36)
(20381/2, 72, 35)
(10191, 74, 36)
(20383/2, 72, 35)
(10192, 70, 34)
(20385/2, 68, 33)
(10193, 70, 34)
(20387/2, 68, 33)
(10194, 67, 32)
(10195, 72, 35)
(20391/2, 75, 37)
(10196, 74, 36)
(20393/2, 72, 35)
(10197, 74, 36)
(20395/2, 72, 35)
(10198, 71, 34)
(20397/2, 72, 35)
(10199, 71, 34)
(20399/2, 74, 36)
(10200, 72, 35)
(20409/2, 74, 36)
(10205, 72, 35)
(20411/2, 74, 36)
(10206, 75, 37)
(20413/2, 77, 38)
(10207, 79, 39)
(20415/2, 81, 40)
(10208, 82, 41)
(20417/2, 80, 40)
(10209, 82, 41)
(20419/2, 80, 40)
(10210, 79, 39)
(20421/2, 77, 38)
(10211, 79, 39)
(20423/2, 77, 38)
(10212, 75, 37)
(20425/2, 74, 36)
(10213, 75, 37)
(20427/2, 74, 36)
(10214, 72, 35)
(10216, 80, 40)
(20433/2, 79, 39)
(10217, 80, 40)
(20435/2, 79, 39)
(10218, 77, 38)
